file	dgs	viewer_image_one_based	observed_source_url	class
DGS7849110_image0178.jpg	7849110	178	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39PP-Q	downloaded original-record image
DGS7849110_image0182.jpg	7849110	182	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39PP-S	downloaded original-record image
DGS7849110_image0212.jpg	7849110	212	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39PK-4	downloaded original-record image
DGS7849110_image0217.jpg	7849110	217	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39PG-2	downloaded original-record image
DGS7849110_image0506.jpg	7849110	506	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39R9-B	downloaded original-record image
DGS7849110_image0510.jpg	7849110	510	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39RS-T	downloaded original-record image
DGS7849110_image0511.jpg	7849110	511	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39RS-J	downloaded original-record image
DGS7849110_image0621.jpg	7849110	621	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-39RS-B	downloaded original-record image
DGS7849110_image0626.jpg	7849110	626	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-3952-S	downloaded original-record image
DGS7849110_image0711.jpg	7849110	711	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-395D-7	downloaded original-record image
DGS7849110_image0716.jpg	7849110	716	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-3956-5	downloaded original-record image
DGS7849110_image0746.jpg	7849110	746	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-395C-H	downloaded original-record image
DGS7849110_image0751.jpg	7849110	751	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ2-395H-D	downloaded original-record image
DGS7849111_image0015.jpg	7849111	15	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8V-X	downloaded original-record image
DGS7849111_image0078.jpg	7849111	78		downloaded original-record image
DGS7849111_image0082.jpg	7849111	82	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS86-4	downloaded original-record image
DGS7849111_image0083.jpg	7849111	83	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8K-G	downloaded original-record image
DGS7849111_image0137.jpg	7849111	137	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8J-7	downloaded original-record image
DGS7849111_image0140.jpg	7849111	140	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8N-G	downloaded original-record image
DGS7849111_image0141.jpg	7849111	141	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8Z-B	downloaded original-record image
DGS7849111_image0147.jpg	7849111	147	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8H-3	downloaded original-record image
DGS7849111_image0189.jpg	7849111	189		downloaded original-record image
DGS7849111_image0192.jpg	7849111	192	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8W-6	downloaded original-record image
DGS7849111_image0200.jpg	7849111	200	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS84-H	downloaded original-record image
DGS7849111_image0258.jpg	7849111	258		filmed divider
DGS7849111_image0260.jpg	7849111	260	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS83-P	downloaded original-record image
DGS7849111_image0263.jpg	7849111	263	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8S-R	downloaded original-record image
DGS7849111_image0270.jpg	7849111	270	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8M-1	downloaded original-record image
DGS7849111_image0284.jpg	7849111	284	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8M-D	downloaded original-record image
DGS7849111_image0287.jpg	7849111	287	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8M-W	downloaded original-record image
DGS7849111_image0288.jpg	7849111	288	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS89-2	downloaded original-record image
DGS7849111_image0294.jpg	7849111	294	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TSZ1-K	downloaded original-record image
DGS7849111_image0295.jpg	7849111	295	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8M-Z	downloaded original-record image
DGS7849111_image0308.jpg	7849111	308	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TSZY-4	filmed divider
DGS7849111_image0310.jpg	7849111	310	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TS8S-M	downloaded original-record image
DGS7849111_image0331.jpg	7849111	331	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQK-TSZT-K	downloaded original-record image
